Internship_ID,Title,Company,Location,Education_Level,Skills_Required,Sector,Duration_Months,Stipend_Range,Mode,Application_Deadline,Industry,Job_Description,Benefits,Number_of_Openings
222,Internship 222,Company 222,Bangalore,M.Com,"UI/UX, Accounting, NLP, Finance",Finance,5,6571-43941,Offline,2025-10-03,Healthcare,"This internship requires skills in Deep Learning, AI, CSS, ML and relevant experience.",Networking,6
223,Internship 223,Company 223,Pune,MBA,"Java, SQL, Python, Excel",E-commerce,6,13024-34360,Offline,2025-02-14,AI,"This internship requires skills in Excel, JavaScript, Data Analysis and relevant experience.",Certificate,1
224,Internship 224,Company 224,Pune,B.Tech,"AI, Communication, NLP, C++",Education,3,7998-21847,Hybrid,2025-04-11,AI,"This internship requires skills in ML, C++, SEO, Data Analysis, Communication and relevant experience.",Certificate,9
225,Internship 225,Company 225,Bangalore,PhD,"Marketing, Finance",Research,2,6907-42292,Offline,2025-08-03,Healthcare,"This internship requires skills in Finance, Accounting, Java and relevant experience.",Certificate,2
226,Internship 226,Company 226,Kolkata,M.Tech,"SEO, Project Management",Design,1,19567-30251,Offline,2025-05-27,Education,"This internship requires skills in Java, Marketing and relevant experience.",Letter of Recommendation,8
227,Internship 227,Company 227,Pune,B.Com,"AI, C++, CSS, Accounting",Healthcare,4,13230-26630,Hybrid,2025-11-02,Education,"This internship requires skills in Finance, UI/UX, Java and relevant experience.",Networking,6
228,Internship 228,Company 228,Kolkata,M.Com,"CSS, Project Management, Marketing, C++, NLP",Technology,3,5583-27843,Offline,2025-08-16,Healthcare,"This internship requires skills in Data Analysis, Communication, Finance, Project Management and relevant experience.",Certificate,10
229,Internship 229,Company 229,Mumbai,M.Tech,"Java, Excel, CSS, Communication",Healthcare,1,7123-32056,Offline,2025-11-26,Education,"This internship requires skills in Python, CSS, NLP, C++, Accounting and relevant experience.",Flexible Hours,2
230,Internship 230,Company 230,Delhi,BBA,"C++, Python, Data Analysis",Research,2,13659-39663,Online,2025-08-26,AI,"This internship requires skills in Communication, C++, Finance and relevant experience.",Flexible Hours,7
231,Internship 231,Company 231,Kolkata,M.Com,"NLP, SQL, UI/UX, Python, SEO",Healthcare,3,11993-23521,Offline,2025-12-11,Healthcare,"This internship requires skills in Deep Learning, UI/UX and relevant experience.",Networking,10
232,Internship 232,Company 232,Chennai,B.Tech,"Project Management, CSS, AI",Research,2,14480-39861,Hybrid,2025-07-03,AI,"This internship requires skills in HTML, Deep Learning, SQL, Data Analysis, ML and relevant experience.",Stipend,4
233,Internship 233,Company 233,Pune,M.Com,"Finance, Project Management, Accounting",Healthcare,1,7489-25765,Offline,2025-01-12,Tech,"This internship requires skills in Excel, Communication, UI/UX and relevant experience.",Letter of Recommendation,2
234,Internship 234,Company 234,Chennai,B.Tech,"Project Management, ML, Data Analysis, Deep Learning, Java",Healthcare,4,5355-27444,Offline,2025-07-21,Finance,"This internship requires skills in Excel, Communication, Accounting, Java, SEO and relevant experience.",Flexible Hours,8
235,Internship 235,Company 235,Pune,MBA,"NLP, Project Management",Education,5,5221-40121,Hybrid,2025-10-16,AI,"This internship requires skills in Finance, ML, SEO, Accounting and relevant experience.",Certificate,7
236,Internship 236,Company 236,Kolkata,B.Tech,"Marketing, Java",Operations,5,16013-37519,Offline,2025-08-20,Healthcare,"This internship requires skills in Java, Data Analysis, UI/UX, AI, Accounting and relevant experience.",Stipend,2
237,Internship 237,Company 237,Mumbai,M.Com,"Finance, Project Management, Accounting, ML, Java",Operations,5,18109-49515,Online,2025-09-24,Marketing,"This internship requires skills in Finance, SEO, Accounting and relevant experience.",Stipend,3
238,Internship 238,Company 238,Chennai,M.Tech,"Project Management, Finance, NLP, JavaScript",E-commerce,4,7240-37798,Online,2025-10-23,Tech,"This internship requires skills in Data Analysis, UI/UX, Marketing, HTML, JavaScript and relevant experience.",Stipend,6
239,Internship 239,Company 239,Chennai,B.Tech,"Communication, Marketing, Accounting, UI/UX, JavaScript",Healthcare,2,10411-47300,Hybrid,2025-10-10,Finance,"This internship requires skills in ML, Python and relevant experience.",Certificate,9
240,Internship 240,Company 240,Bangalore,BBA,"Project Management, Deep Learning, Python, Communication",E-commerce,1,11783-49595,Hybrid,2025-12-14,Marketing,"This internship requires skills in Project Management, NLP, SEO, HTML and relevant experience.",Flexible Hours,1
241,Internship 241,Company 241,Chennai,B.Tech,"Marketing, Data Analysis, JavaScript, UI/UX",Design,4,14778-23038,Online,2025-09-25,Finance,"This internship requires skills in Finance, HTML, C++, Python and relevant experience.",Networking,1
242,Internship 242,Company 242,Kolkata,M.Tech,"JavaScript, ML, Project Management, Finance",Design,2,6049-43974,Offline,2025-05-16,Finance,"This internship requires skills in Marketing, ML, Accounting and relevant experience.",Stipend,6
243,Internship 243,Company 243,Mumbai,MBA,"Python, NLP",Marketing,3,17139-29886,Offline,2025-01-11,Healthcare,"This internship requires skills in Excel, Data Analysis and relevant experience.",Stipend,2
244,Internship 244,Company 244,Bangalore,M.Com,"C++, UI/UX",Marketing,6,8113-45860,Offline,2025-12-26,AI,"This internship requires skills in Communication, C++ and relevant experience.",Certificate,3
245,Internship 245,Company 245,Hyderabad,MBA,"Project Management, JavaScript, Accounting",Design,6,17381-48665,Hybrid,2025-08-03,Marketing,"This internship requires skills in NLP, JavaScript, SQL and relevant experience.",Flexible Hours,1
246,Internship 246,Company 246,Hyderabad,PhD,"AI, C++, HTML, Java",Finance,6,5301-46952,Online,2025-05-02,Healthcare,"This internship requires skills in CSS, Marketing, Java, JavaScript and relevant experience.",Letter of Recommendation,2
247,Internship 247,Company 247,Hyderabad,M.Tech,"Project Management, Finance, Excel, SEO, HTML",Operations,3,19069-32833,Hybrid,2025-11-12,Tech,"This internship requires skills in ML, JavaScript, Excel, Project Management, SEO and relevant experience.",Flexible Hours,5
248,Internship 248,Company 248,Chennai,B.Tech,"SQL, AI, SEO, Excel, Java",Design,3,18613-30040,Online,2025-10-03,Finance,"This internship requires skills in HTML, Marketing, AI, JavaScript and relevant experience.",Flexible Hours,10
249,Internship 249,Company 249,Hyderabad,B.Tech,"NLP, AI, Excel, Python, Deep Learning",Technology,4,7180-47506,Offline,2025-11-21,AI,"This internship requires skills in Project Management, ML, SQL, CSS, AI and relevant experience.",Flexible Hours,6
250,Internship 250,Company 250,Hyderabad,B.Com,"Deep Learning, ML, Accounting, SEO",Healthcare,5,19328-45290,Offline,2025-02-09,Marketing,"This internship requires skills in C++, JavaScript, ML and relevant experience.",Flexible Hours,4
251,Internship 251,Company 251,Kolkata,BBA,"UI/UX, Marketing, ML",E-commerce,6,15762-48866,Offline,2025-12-26,Marketing,"This internship requires skills in CSS, Python, Finance and relevant experience.",Certificate,1
252,Internship 252,Company 252,Delhi,PhD,"CSS, SEO, Communication",Finance,3,16001-22228,Offline,2025-11-23,AI,"This internship requires skills in SQL, HTML, Excel and relevant experience.",Flexible Hours,3
253,Internship 253,Company 253,Delhi,BBA,"Communication, Finance",Healthcare,5,13141-27758,Online,2025-02-14,AI,"This internship requires skills in Marketing, Project Management and relevant experience.",Certificate,7
254,Internship 254,Company 254,Hyderabad,PhD,"Python, JavaScript, Project Management",Design,5,10250-38736,Offline,2025-03-18,Tech,"This internship requires skills in SQL, Python, HTML and relevant experience.",Certificate,9
255,Internship 255,Company 255,Bangalore,M.Com,"C++, NLP, AI, Marketing, Finance",Education,5,5105-44462,Hybrid,2025-04-06,Healthcare,"This internship requires skills in SEO, Excel and relevant experience.",Letter of Recommendation,5
256,Internship 256,Company 256,Bangalore,M.Com,"Excel, JavaScript, NLP, UI/UX",AI,5,17396-34066,Offline,2025-11-15,Healthcare,"This internship requires skills in CSS, Accounting, Data Analysis, Deep Learning and relevant experience.",Certificate,6
257,Internship 257,Company 257,Delhi,PhD,"Data Analysis, HTML, Deep Learning",Finance,1,7012-30967,Online,2025-04-18,Healthcare,"This internship requires skills in Java, Data Analysis and relevant experience.",Stipend,6
258,Internship 258,Company 258,Bangalore,M.Tech,"UI/UX, Marketing",Marketing,1,17471-20763,Online,2025-03-20,Education,"This internship requires skills in Accounting, JavaScript, HTML, ML and relevant experience.",Networking,10
259,Internship 259,Company 259,Kolkata,M.Com,"Java, Excel, Python",Research,3,11915-29763,Hybrid,2025-09-25,Finance,"This internship requires skills in Java, Accounting and relevant experience.",Letter of Recommendation,10
260,Internship 260,Company 260,Bangalore,B.Com,"Python, ML, UI/UX",Technology,3,12064-39470,Offline,2025-07-21,Tech,"This internship requires skills in ML, JavaScript and relevant experience.",Networking,10
261,Internship 261,Company 261,Pune,M.Com,"Deep Learning, ML, JavaScript, SQL, UI/UX",Finance,6,18407-47373,Hybrid,2025-03-25,Marketing,"This internship requires skills in HTML, Communication and relevant experience.",Letter of Recommendation,5
262,Internship 262,Company 262,Bangalore,B.Tech,"SEO, SQL, Accounting, HTML",Research,5,18389-33206,Offline,2025-07-09,Healthcare,"This internship requires skills in SEO, Excel, SQL, C++ and relevant experience.",Flexible Hours,8
263,Internship 263,Company 263,Mumbai,M.Tech,"SEO, UI/UX, C++, Java",Marketing,5,11110-35112,Hybrid,2025-02-24,Marketing,"This internship requires skills in Data Analysis, AI, SQL and relevant experience.",Letter of Recommendation,10
264,Internship 264,Company 264,Chennai,PhD,"SQL, Java, CSS",Design,1,5072-35002,Online,2025-11-01,Marketing,"This internship requires skills in C++, NLP, JavaScript, Java and relevant experience.",Networking,3
265,Internship 265,Company 265,Mumbai,M.Com,"CSS, Accounting",AI,4,19291-35288,Offline,2025-11-06,Marketing,"This internship requires skills in CSS, Java and relevant experience.",Flexible Hours,3
266,Internship 266,Company 266,Delhi,M.Com,"NLP, C++, CSS",E-commerce,1,8274-37235,Online,2025-04-05,Education,"This internship requires skills in Python, Deep Learning and relevant experience.",Letter of Recommendation,5
267,Internship 267,Company 267,Kolkata,MBA,"AI, SEO, Java, ML, Project Management",Education,2,17412-49762,Hybrid,2025-06-05,Tech,"This internship requires skills in Marketing, Project Management and relevant experience.",Letter of Recommendation,1
268,Internship 268,Company 268,Chennai,BBA,"Java, Deep Learning, NLP, Project Management",Design,6,14190-26605,Offline,2025-10-22,Education,"This internship requires skills in Deep Learning, AI, Project Management and relevant experience.",Certificate,4
269,Internship 269,Company 269,Kolkata,MBA,"Project Management, Marketing, Finance, SEO",Healthcare,1,11966-44663,Online,2025-08-23,AI,"This internship requires skills in UI/UX, Python, Java and relevant experience.",Networking,5
270,Internship 270,Company 270,Mumbai,PhD,"SEO, Excel",Operations,4,18178-47541,Hybrid,2025-10-27,Finance,"This internship requires skills in Accounting, ML, CSS and relevant experience.",Letter of Recommendation,6
271,Internship 271,Company 271,Pune,MBA,"CSS, SQL, Excel, Communication, Marketing",Research,5,16338-46747,Online,2025-04-09,Tech,"This internship requires skills in Java, Deep Learning, Data Analysis, Accounting, NLP and relevant experience.",Certificate,2
272,Internship 272,Company 272,Pune,M.Tech,"Communication, HTML, JavaScript, Deep Learning",E-commerce,4,7242-40052,Offline,2025-05-19,Finance,"This internship requires skills in Deep Learning, HTML, ML, Java and relevant experience.",Networking,7
273,Internship 273,Company 273,Hyderabad,M.Tech,"Finance, JavaScript, Java, UI/UX, CSS",Finance,6,6863-34403,Online,2025-09-05,Education,"This internship requires skills in CSS, C++ and relevant experience.",Stipend,4
274,Internship 274,Company 274,Hyderabad,M.Tech,"Python, Java, ML, Project Management",Technology,2,13134-33653,Online,2025-01-12,Education,"This internship requires skills in NLP, UI/UX, C++ and relevant experience.",Networking,5
275,Internship 275,Company 275,Pune,MBA,"NLP, SEO, Finance, CSS, Java",Marketing,2,15997-39191,Online,2025-03-21,Tech,"This internship requires skills in NLP, Project Management, Finance and relevant experience.",Certificate,10
276,Internship 276,Company 276,Bangalore,M.Tech,"Communication, ML, NLP, UI/UX",Marketing,1,16789-41471,Hybrid,2025-03-13,Education,"This internship requires skills in JavaScript, UI/UX and relevant experience.",Certificate,3
277,Internship 277,Company 277,Chennai,M.Com,"CSS, Marketing, Accounting",Operations,6,13928-35579,Hybrid,2025-10-20,Tech,"This internship requires skills in Marketing, JavaScript, Deep Learning, C++, UI/UX and relevant experience.",Stipend,2
278,Internship 278,Company 278,Bangalore,BBA,"HTML, Finance, SEO",Design,6,5947-20890,Online,2025-08-28,Tech,"This internship requires skills in NLP, AI, Data Analysis, Accounting and relevant experience.",Networking,5
279,Internship 279,Company 279,Mumbai,B.Com,"JavaScript, HTML, CSS, Deep Learning, NLP",E-commerce,4,10167-41722,Hybrid,2025-07-24,Education,"This internship requires skills in SEO, CSS and relevant experience.",Certificate,2
280,Internship 280,Company 280,Delhi,PhD,"UI/UX, CSS",Technology,1,7397-38402,Hybrid,2025-06-28,Tech,"This internship requires skills in SEO, Finance, Marketing, NLP and relevant experience.",Letter of Recommendation,2
281,Internship 281,Company 281,Bangalore,PhD,"ML, Communication",Education,6,15535-45098,Online,2025-05-15,Finance,"This internship requires skills in Marketing, AI and relevant experience.",Flexible Hours,9
282,Internship 282,Company 282,Kolkata,M.Com,"ML, Data Analysis, CSS",Education,5,5918-40985,Hybrid,2025-04-07,AI,"This internship requires skills in Communication, Finance and relevant experience.",Networking,7
283,Internship 283,Company 283,Delhi,PhD,"Communication, Project Management, ML, Marketing, JavaScript",AI,4,8483-29504,Offline,2025-07-01,Education,"This internship requires skills in UI/UX, SQL, C++ and relevant experience.",Stipend,10
284,Internship 284,Company 284,Delhi,B.Tech,"JavaScript, NLP, Python, Accounting, SEO",Healthcare,5,10165-25859,Hybrid,2025-07-23,Finance,"This internship requires skills in SQL, NLP, Finance, Python and relevant experience.",Networking,6
285,Internship 285,Company 285,Delhi,B.Tech,"C++, CSS, Python",Design,5,8611-32937,Hybrid,2025-10-26,Healthcare,"This internship requires skills in Python, JavaScript, SQL, Excel, Data Analysis and relevant experience.",Stipend,9
286,Internship 286,Company 286,Mumbai,PhD,"NLP, Accounting, HTML, JavaScript",Technology,1,18722-44463,Hybrid,2025-01-19,AI,"This internship requires skills in Marketing, Deep Learning, Java, Communication, SQL and relevant experience.",Flexible Hours,5
287,Internship 287,Company 287,Hyderabad,B.Tech,"HTML, SEO, JavaScript, Accounting",Marketing,3,10940-47647,Offline,2025-10-16,Tech,"This internship requires skills in AI, Deep Learning, ML, CSS and relevant experience.",Letter of Recommendation,9
288,Internship 288,Company 288,Chennai,BBA,"C++, Finance, Deep Learning",Design,1,6612-26999,Offline,2025-08-14,Finance,"This internship requires skills in UI/UX, SQL, NLP, Data Analysis and relevant experience.",Letter of Recommendation,6
289,Internship 289,Company 289,Delhi,M.Tech,"Excel, AI, C++",Technology,2,7200-27357,Offline,2025-11-28,AI,"This internship requires skills in SQL, Accounting, Python, Deep Learning and relevant experience.",Certificate,3
290,Internship 290,Company 290,Kolkata,M.Com,"SQL, JavaScript, CSS",Finance,5,10552-22149,Hybrid,2025-08-03,Finance,"This internship requires skills in Python, HTML, Communication, Project Management and relevant experience.",Flexible Hours,2
291,Internship 291,Company 291,Delhi,PhD,"Project Management, HTML",Finance,1,9443-45363,Online,2025-05-02,Finance,"This internship requires skills in SQL, HTML, CSS, Communication and relevant experience.",Certificate,10
292,Internship 292,Company 292,Mumbai,PhD,"SQL, C++",Operations,5,8520-49157,Online,2025-06-15,Tech,"This internship requires skills in UI/UX, AI, Excel, Deep Learning, Data Analysis and relevant experience.",Networking,5
293,Internship 293,Company 293,Chennai,B.Com,"JavaScript, SEO",Operations,4,5765-44367,Offline,2025-01-06,Education,"This internship requires skills in NLP, Project Management, Deep Learning and relevant experience.",Letter of Recommendation,5
294,Internship 294,Company 294,Chennai,B.Tech,"C++, Project Management, SQL",Operations,1,5272-26417,Online,2025-03-12,AI,"This internship requires skills in SEO, SQL, Python, AI, C++ and relevant experience.",Networking,1
295,Internship 295,Company 295,Hyderabad,M.Com,"SEO, Communication",AI,4,15580-25393,Offline,2025-04-08,Tech,"This internship requires skills in Accounting, C++, Python, CSS and relevant experience.",Stipend,9
296,Internship 296,Company 296,Hyderabad,M.Com,"ML, Marketing, Project Management, Java",Operations,6,8946-44238,Offline,2025-10-08,AI,"This internship requires skills in HTML, SEO, CSS, C++ and relevant experience.",Networking,1
297,Internship 297,Company 297,Mumbai,B.Com,"Project Management, Python, Java, Accounting, SEO",Operations,4,10745-40628,Hybrid,2025-04-13,Marketing,"This internship requires skills in AI, SQL, Data Analysis, JavaScript, C++ and relevant experience.",Letter of Recommendation,10
298,Internship 298,Company 298,Chennai,BBA,"UI/UX, HTML",AI,6,5225-32291,Offline,2025-04-19,Tech,"This internship requires skills in Accounting, Deep Learning, Finance, Marketing, UI/UX and relevant experience.",Certificate,10
299,Internship 299,Company 299,Kolkata,B.Tech,"ML, SQL, Data Analysis, HTML, Accounting",Research,6,9687-30758,Hybrid,2025-12-17,Education,"This internship requires skills in Deep Learning, AI, ML, HTML, C++ and relevant experience.",Certificate,6
300,Internship 300,Company 300,Hyderabad,PhD,"HTML, Communication",Marketing,1,7004-46800,Online,2025-11-19,Healthcare,"This internship requires skills in ML, Finance, Python, Data Analysis, AI and relevant experience.",Certificate,8
301,Internship 301,Company 301,Bangalore,B.Com,"ML, NLP, Accounting, Marketing",Research,1,14057-47998,Hybrid,2025-05-15,Tech,"This internship requires skills in Java, UI/UX and relevant experience.",Networking,10
302,Internship 302,Company 302,Delhi,MBA,"Java, Project Management, SEO, NLP",Research,4,12595-35278,Offline,2025-09-09,Education,"This internship requires skills in AI, SEO and relevant experience.",Certificate,1
303,Internship 303,Company 303,Pune,M.Tech,"Project Management, NLP, Marketing, Excel",Healthcare,5,19028-31375,Offline,2025-06-09,Healthcare,"This internship requires skills in Java, Excel, Communication, JavaScript, Accounting and relevant experience.",Stipend,1
304,Internship 304,Company 304,Hyderabad,B.Com,"ML, Marketing, Java, HTML, JavaScript",Technology,5,13518-46550,Online,2025-11-28,Marketing,"This internship requires skills in SQL, NLP, HTML and relevant experience.",Flexible Hours,2
305,Internship 305,Company 305,Delhi,M.Tech,"Data Analysis, ML, AI, HTML",Marketing,3,11271-41826,Hybrid,2025-02-21,Tech,"This internship requires skills in CSS, Data Analysis and relevant experience.",Letter of Recommendation,6
306,Internship 306,Company 306,Pune,B.Tech,"Python, Finance, C++, Data Analysis",Research,3,13414-49966,Offline,2025-02-24,Marketing,"This internship requires skills in HTML, Marketing and relevant experience.",Stipend,5
307,Internship 307,Company 307,Hyderabad,B.Tech,"Data Analysis, NLP, Project Management",Finance,6,7967-23003,Offline,2025-07-13,Finance,"This internship requires skills in Project Management, C++, Finance, JavaScript and relevant experience.",Letter of Recommendation,6
308,Internship 308,Company 308,Mumbai,M.Com,"JavaScript, Data Analysis, CSS",E-commerce,2,5945-42899,Hybrid,2025-03-25,Tech,"This internship requires skills in ML, SQL, CSS and relevant experience.",Networking,3
309,Internship 309,Company 309,Delhi,PhD,"Deep Learning, Data Analysis, Accounting, UI/UX, Communication",Design,4,6221-24982,Online,2025-03-05,Education,"This internship requires skills in Python, Project Management, Marketing and relevant experience.",Certificate,10
310,Internship 310,Company 310,Chennai,BBA,"SQL, Data Analysis, UI/UX, Finance",Technology,3,12766-37057,Hybrid,2025-12-16,Finance,"This internship requires skills in SEO, UI/UX, Data Analysis, C++ and relevant experience.",Letter of Recommendation,8
311,Internship 311,Company 311,Pune,B.Tech,"Python, ML, Deep Learning, SEO, HTML",Operations,5,14356-37666,Offline,2025-11-03,Education,"This internship requires skills in HTML, UI/UX, Marketing and relevant experience.",Letter of Recommendation,7
312,Internship 312,Company 312,Bangalore,M.Tech,"Excel, Marketing, CSS, JavaScript",Technology,3,9651-35909,Hybrid,2025-12-15,Education,"This internship requires skills in SEO, Excel, CSS, JavaScript and relevant experience.",Flexible Hours,8
313,Internship 313,Company 313,Bangalore,MBA,"Project Management, SQL",Education,5,9818-46873,Offline,2025-07-07,Marketing,"This internship requires skills in Communication, Excel, Accounting, SEO, SQL and relevant experience.",Networking,7
314,Internship 314,Company 314,Delhi,M.Tech,"Java, C++, SEO, Excel",Education,2,9032-20902,Hybrid,2025-09-13,Marketing,"This internship requires skills in NLP, SEO, Deep Learning and relevant experience.",Certificate,1
315,Internship 315,Company 315,Delhi,M.Com,"Excel, Communication, Finance, ML, CSS",Finance,2,13166-36405,Offline,2025-12-01,AI,"This internship requires skills in SQL, HTML, Java, SEO and relevant experience.",Stipend,5
316,Internship 316,Company 316,Kolkata,B.Com,"Deep Learning, ML, SEO, Marketing, NLP",Research,2,13120-38130,Online,2025-09-13,Tech,"This internship requires skills in Accounting, Marketing, Python and relevant experience.",Certificate,10
317,Internship 317,Company 317,Delhi,B.Tech,"NLP, HTML, SEO, Python, JavaScript",Technology,6,17969-29626,Online,2025-11-23,AI,"This internship requires skills in CSS, Data Analysis, Deep Learning, Finance, NLP and relevant experience.",Networking,3
318,Internship 318,Company 318,Chennai,B.Tech,"C++, JavaScript, HTML, UI/UX",Research,4,17826-32711,Offline,2025-04-16,Tech,"This internship requires skills in SEO, HTML, JavaScript, Accounting and relevant experience.",Flexible Hours,7
319,Internship 319,Company 319,Hyderabad,PhD,"Communication, SEO, NLP, CSS",Research,4,17476-20896,Online,2025-04-18,AI,"This internship requires skills in Python, JavaScript, NLP, ML and relevant experience.",Networking,7
320,Internship 320,Company 320,Mumbai,B.Com,"C++, SEO",Education,2,19166-20594,Online,2025-07-05,AI,"This internship requires skills in NLP, SQL, C++ and relevant experience.",Certificate,1
321,Internship 321,Company 321,Mumbai,M.Tech,"SQL, Data Analysis",Technology,5,10202-32437,Online,2025-06-06,Tech,"This internship requires skills in Accounting, Python and relevant experience.",Letter of Recommendation,9
322,Internship 322,Company 322,Hyderabad,BBA,"Communication, Java, C++, Python, Finance",Marketing,4,6488-36360,Hybrid,2025-02-12,Education,"This internship requires skills in Marketing, Project Management and relevant experience.",Certificate,3
323,Internship 323,Company 323,Mumbai,BBA,"HTML, Communication, Data Analysis, Excel",Operations,6,15335-45668,Hybrid,2025-11-20,Marketing,"This internship requires skills in NLP, HTML, SQL, AI, Accounting and relevant experience.",Networking,3
324,Internship 324,Company 324,Hyderabad,B.Tech,"Communication, Marketing, ML",Finance,2,12822-20598,Online,2025-01-25,Education,"This internship requires skills in SQL, Java and relevant experience.",Stipend,2
325,Internship 325,Company 325,Kolkata,B.Com,"NLP, Java, Marketing, CSS",Finance,3,15118-33837,Hybrid,2025-06-14,Tech,"This internship requires skills in Finance, NLP, Project Management and relevant experience.",Letter of Recommendation,8
326,Internship 326,Company 326,Kolkata,PhD,"Deep Learning, Java",Research,3,8141-26259,Hybrid,2025-06-22,Healthcare,"This internship requires skills in AI, Accounting and relevant experience.",Certificate,2
327,Internship 327,Company 327,Hyderabad,BBA,"UI/UX, Excel, SEO, CSS",Research,5,5881-26076,Offline,2025-01-16,Education,"This internship requires skills in Deep Learning, Project Management, SQL, JavaScript and relevant experience.",Certificate,8
328,Internship 328,Company 328,Kolkata,B.Tech,"Marketing, Data Analysis, CSS",Education,2,9497-43578,Online,2025-12-04,Marketing,"This internship requires skills in CSS, HTML, UI/UX and relevant experience.",Stipend,8
329,Internship 329,Company 329,Delhi,M.Tech,"Java, SEO",Finance,2,19544-21767,Offline,2025-03-13,Education,"This internship requires skills in SEO, CSS, AI, JavaScript and relevant experience.",Certificate,2
330,Internship 330,Company 330,Pune,M.Com,"Java, SQL, Finance",Technology,6,15259-23671,Online,2025-10-18,Marketing,"This internship requires skills in CSS, Python, SQL, AI, HTML and relevant experience.",Certificate,5
331,Internship 331,Company 331,Chennai,M.Tech,"SQL, AI, Finance, JavaScript, Project Management",Finance,5,19715-46279,Hybrid,2025-05-19,Marketing,"This internship requires skills in Data Analysis, SQL, Project Management, CSS, Accounting and relevant experience.",Flexible Hours,9
332,Internship 332,Company 332,Kolkata,M.Tech,"SQL, Marketing, ML",Marketing,1,7275-22063,Offline,2025-07-23,Marketing,"This internship requires skills in SEO, C++ and relevant experience.",Flexible Hours,10
333,Internship 333,Company 333,Kolkata,BBA,"NLP, SQL, Finance, SEO",Research,3,6471-47949,Offline,2025-10-27,Healthcare,"This internship requires skills in Project Management, NLP and relevant experience.",Networking,7
334,Internship 334,Company 334,Bangalore,PhD,"Java, UI/UX, ML, NLP, Data Analysis",Technology,3,6641-43262,Hybrid,2025-12-20,Marketing,"This internship requires skills in HTML, Communication, CSS, Deep Learning, Python and relevant experience.",Letter of Recommendation,3
335,Internship 335,Company 335,Bangalore,MBA,"HTML, Java",Marketing,2,14902-43424,Online,2025-05-20,AI,"This internship requires skills in Python, SQL, Accounting, C++ and relevant experience.",Flexible Hours,10
336,Internship 336,Company 336,Hyderabad,M.Com,"JavaScript, Accounting, Excel, Python, Data Analysis",Finance,4,15648-32219,Online,2025-02-11,AI,"This internship requires skills in Finance, JavaScript, Project Management and relevant experience.",Networking,9
337,Internship 337,Company 337,Pune,M.Com,"Finance, Accounting, AI, Data Analysis, Python",AI,1,13607-25406,Offline,2025-06-27,Finance,"This internship requires skills in UI/UX, Deep Learning, CSS and relevant experience.",Flexible Hours,7
338,Internship 338,Company 338,Chennai,PhD,"ML, C++, Communication, NLP",AI,6,16013-41435,Offline,2025-06-23,Education,"This internship requires skills in SEO, SQL and relevant experience.",Stipend,10
339,Internship 339,Company 339,Chennai,B.Tech,"HTML, CSS, C++",Education,4,15490-26804,Hybrid,2025-04-23,Healthcare,"This internship requires skills in HTML, AI, Marketing, Accounting, Finance and relevant experience.",Networking,3
340,Internship 340,Company 340,Chennai,M.Com,"UI/UX, CSS, Marketing, Finance, Python",E-commerce,4,7448-42807,Hybrid,2025-01-12,Healthcare,"This internship requires skills in SEO, JavaScript, Data Analysis and relevant experience.",Networking,6
341,Internship 341,Company 341,Hyderabad,BBA,"CSS, Accounting, Finance",Technology,3,19574-47417,Hybrid,2025-12-26,Marketing,"This internship requires skills in ML, Finance and relevant experience.",Letter of Recommendation,1
342,Internship 342,Company 342,Hyderabad,B.Com,"SQL, Java, CSS, AI",Education,1,11802-46400,Offline,2025-06-17,Marketing,"This internship requires skills in CSS, SEO, Project Management and relevant experience.",Flexible Hours,8
343,Internship 343,Company 343,Hyderabad,M.Tech,"Communication, Data Analysis, Excel, HTML, Finance",Healthcare,5,9697-38533,Offline,2025-07-26,Tech,"This internship requires skills in Project Management, HTML and relevant experience.",Networking,4
344,Internship 344,Company 344,Pune,B.Com,"Python, Excel",Marketing,5,15278-22071,Offline,2025-10-28,Education,"This internship requires skills in HTML, CSS and relevant experience.",Certificate,4
345,Internship 345,Company 345,Kolkata,M.Com,"UI/UX, Project Management, ML, Deep Learning",Research,6,18600-36553,Offline,2025-05-05,AI,"This internship requires skills in HTML, Marketing, UI/UX and relevant experience.",Flexible Hours,1
346,Internship 346,Company 346,Delhi,BBA,"Marketing, JavaScript, Python",E-commerce,2,10002-32044,Hybrid,2025-07-09,AI,"This internship requires skills in Excel, SEO, C++ and relevant experience.",Letter of Recommendation,9
347,Internship 347,Company 347,Mumbai,M.Com,"SEO, CSS",E-commerce,6,16082-22220,Offline,2025-10-12,Marketing,"This internship requires skills in UI/UX, Java and relevant experience.",Stipend,10
348,Internship 348,Company 348,Hyderabad,M.Com,"Python, Communication, SQL",Marketing,4,7198-38392,Online,2025-04-20,AI,"This internship requires skills in Accounting, JavaScript and relevant experience.",Networking,2
349,Internship 349,Company 349,Kolkata,MBA,"SEO, Deep Learning",Education,4,12151-23324,Hybrid,2025-06-21,Marketing,"This internship requires skills in CSS, Project Management, Data Analysis and relevant experience.",Stipend,5
350,Internship 350,Company 350,Mumbai,MBA,"HTML, Communication",Healthcare,5,10850-31146,Hybrid,2025-03-10,Education,"This internship requires skills in Python, Java, Communication and relevant experience.",Certificate,6
